Wavelength,Flux,BestFit,SkyFlux
3792.277,12.063,12.242,35.486
3793.150,11.745,12.298,33.015
3794.022,11.427,12.189,31.098
3794.897,17.569,12.072,32.214
3795.770,12.118,12.076,31.643
3796.646,12.115,12.169,31.376
3797.519,14.483,12.312,31.470
3798.395,9.145,12.120,31.740
3799.269,5.946,12.027,32.278
3800.143,0.886,12.105,32.963
3801.019,12.501,12.221,33.903
3801.893,8.889,12.245,35.078
3802.770,12.739,12.137,36.149
3803.645,16.845,11.997,37.067
3804.522,13.514,12.007,38.126
3805.397,14.805,11.850,39.097
3806.273,15.755,11.685,39.813
3807.150,6.064,11.857,40.521
3808.026,4.948,11.932,41.220
3808.904,1.271,11.957,41.409
3809.780,6.969,11.800,41.340
3810.659,12.610,11.760,41.096
3811.536,15.482,11.850,40.459
3812.412,16.061,11.821,39.452
3813.292,12.954,11.735,37.551
3814.169,10.210,11.667,34.770
3815.048,10.154,11.599,31.752
3815.926,7.117,11.609,29.057
3816.806,10.431,11.623,28.508
3817.684,9.495,11.558,30.587
3818.562,6.477,11.620,32.747
3819.443,15.350,11.642,31.433
3820.322,13.471,11.569,27.420
3821.202,10.357,11.519,24.890
3822.082,13.235,11.469,25.931
3822.963,10.584,11.394,28.649
3823.842,7.285,11.512,30.113
3824.724,17.762,11.443,28.323
3825.604,12.439,11.379,24.809
3826.484,6.829,11.499,21.630
3827.366,13.834,11.560,20.191
3828.247,12.671,11.349,20.595
3829.130,11.860,11.329,22.225
3830.011,15.331,11.301,24.301
3830.894,14.135,11.372,25.778
3831.775,13.188,11.448,25.943
3832.657,15.894,11.453,24.697
3833.540,13.041,11.398,23.218
3834.422,11.088,11.316,22.595
3835.307,10.436,11.353,23.144
3836.189,13.680,11.334,24.119
3837.073,13.048,11.199,24.514
3837.956,12.082,11.214,23.968
3838.839,12.036,11.496,22.666
3839.724,9.441,11.468,21.036
3840.608,11.554,11.298,20.646
3841.493,9.317,11.312,23.070
3842.377,9.304,11.425,27.317
3843.263,12.742,11.404,30.640
3844.147,9.642,11.259,32.922
3845.032,10.721,11.373,34.522
3845.918,11.502,11.400,35.324
3846.803,10.625,11.454,35.796
3847.690,9.873,11.434,35.981
3848.575,7.491,11.375,34.892
3849.463,16.679,11.449,33.101
3850.348,6.449,11.595,31.912
3851.234,11.669,11.582,31.674
3852.122,13.535,11.518,32.608
3853.008,11.908,11.519,33.527
3853.897,12.578,11.553,33.534
3854.783,14.316,11.549,32.393
3855.672,11.124,11.557,30.410
3856.559,5.373,11.411,28.981
3857.446,10.953,11.429,29.062
3858.336,8.886,11.487,28.771
3859.223,9.855,11.421,26.074
3860.113,15.011,11.323,22.586
3861.001,14.303,11.447,21.945
3861.892,10.496,11.625,24.769
3862.780,10.602,11.445,29.875
3863.669,11.214,11.257,34.377
3864.560,12.084,11.306,35.327
3865.449,21.762,11.449,33.579
3866.340,14.118,11.500,32.260
3867.230,11.485,11.534,32.504
3868.121,8.377,11.458,32.638
3869.011,7.968,11.345,32.186
3869.901,10.687,11.315,30.718
3870.794,12.524,11.349,28.089
3871.684,12.117,11.257,25.086
3872.577,11.174,11.242,23.034
3873.468,11.152,11.291,24.071
3874.361,13.442,11.304,28.277
3875.252,14.405,11.336,33.198
3876.144,11.838,11.457,36.385
3877.038,11.881,11.457,35.613
3877.930,11.219,11.240,32.333
3878.824,11.257,11.355,29.855
3879.716,9.907,11.380,29.433
3880.611,8.951,11.207,29.819
3881.504,13.059,11.207,29.375
3882.396,14.813,11.376,27.921
3883.292,16.373,11.457,26.691
3884.185,6.262,11.505,27.649
3885.081,18.919,11.479,30.284
3885.975,14.316,11.492,30.756
3886.871,9.757,11.557,28.896
3887.765,11.545,11.266,27.128
3888.659,10.602,11.191,26.785
3889.556,9.772,11.173,26.646
3890.451,13.008,11.043,26.972
3891.348,15.079,11.036,29.881
3892.243,12.382,11.360,34.846
3893.141,15.246,11.547,37.896
3894.036,12.989,11.563,37.732
3894.934,13.471,11.445,36.685
3895.830,15.117,11.269,36.298
3896.726,13.152,11.275,36.976
3897.625,11.743,11.488,38.331
3898.522,14.474,11.358,39.062
3899.421,12.705,11.281,38.344
3900.318,8.192,11.161,37.775
3901.217,9.428,11.108,37.983
3902.115,11.040,11.263,37.760
3903.012,10.158,11.567,37.112
3903.912,15.158,11.699,36.181
3904.810,12.827,11.535,36.087
3905.711,7.684,11.518,35.912
3906.609,13.513,11.686,34.642
3907.510,12.257,11.767,35.846
3908.409,11.612,11.648,40.982
3909.308,6.997,11.679,44.305
3910.210,11.627,11.577,43.681
3911.109,10.199,11.665,43.211
3912.011,8.296,11.736,43.932
3912.911,11.497,11.751,44.633
3913.813,14.384,11.827,45.588
3914.714,13.119,11.733,46.138
3915.614,13.175,11.732,44.092
3916.517,16.262,11.829,41.926
3917.418,14.890,11.855,40.505
3918.322,18.082,11.802,39.623
3919.223,12.599,11.772,38.300
3920.127,10.789,11.718,36.699
3921.029,11.618,11.668,34.688
3921.931,9.104,11.683,32.862
3922.835,6.627,11.749,32.444
3923.737,10.696,11.792,33.769
3924.642,14.784,11.783,35.091
3925.545,6.571,11.804,34.577
3926.450,11.617,11.769,32.658
3927.354,9.853,11.804,30.307
3928.257,7.312,11.752,26.881
3929.163,8.226,11.714,23.577
3930.067,14.419,11.840,20.410
3930.973,16.061,11.762,17.791
3931.877,12.673,11.714,15.868
3932.784,13.840,11.920,14.352
3933.689,12.413,12.014,12.795
3934.594,9.296,11.984,11.839
3935.501,12.806,12.109,12.143
3936.406,10.527,12.194,13.742
3937.314,9.647,12.108,16.274
3938.220,11.187,12.060,19.243
3939.128,12.597,12.007,22.149
3940.034,12.455,12.038,25.085
3940.941,13.528,12.215,27.930
3941.849,16.610,12.178,30.178
