Wavelength,Flux,BestFit,SkyFlux
3792.277,0.338,3.162,35.672
3793.150,0.061,3.298,33.151
3794.022,-0.215,3.384,31.188
3794.897,0.239,3.355,32.619
3795.770,4.054,3.304,32.038
3796.646,9.689,3.336,31.765
3797.519,4.717,3.332,31.720
3798.395,-7.869,3.472,32.077
3799.269,0.298,3.392,32.599
3800.143,3.376,3.246,33.383
3801.019,5.979,3.264,34.134
3801.893,2.422,3.330,35.290
3802.770,3.891,3.314,36.199
3803.645,5.923,3.398,37.118
3804.522,5.881,3.415,38.115
3805.397,15.508,3.366,39.177
3806.273,4.458,3.375,39.957
3807.150,-1.567,3.420,40.529
3808.026,-0.646,3.195,40.909
3808.904,1.966,3.424,41.426
3809.780,0.853,3.464,41.456
3810.659,3.112,3.415,41.034
3811.536,6.482,3.493,40.601
3812.412,3.507,3.488,39.655
3813.292,0.228,3.564,37.865
3814.169,2.323,3.422,35.306
3815.048,7.541,3.323,31.966
3815.926,2.600,3.372,29.358
3816.806,3.558,3.477,28.763
3817.684,-1.439,3.476,30.766
3818.562,-2.787,3.277,32.566
3819.443,3.417,3.383,31.356
3820.322,6.034,3.302,27.408
3821.202,0.102,3.249,24.663
3822.082,-2.350,3.363,25.958
3822.963,9.336,3.282,28.913
3823.842,8.824,3.317,30.007
3824.724,-4.292,3.324,28.210
3825.604,0.620,3.371,24.922
3826.484,4.610,3.444,21.688
3827.366,2.207,3.473,20.053
3828.247,4.752,3.445,20.504
3829.130,8.321,3.430,22.264
3830.011,3.638,3.392,24.496
3830.894,6.256,3.387,26.128
3831.775,3.565,3.365,25.999
3832.657,4.544,3.332,24.575
3833.540,4.275,3.342,23.482
3834.422,2.490,3.191,22.947
3835.307,2.840,3.327,23.317
3836.189,7.018,3.356,24.211
3837.073,9.911,3.382,24.617
3837.956,6.601,3.437,24.203
3838.839,5.542,3.278,22.798
3839.724,2.274,3.458,21.131
3840.608,3.247,3.380,20.749
3841.493,0.905,3.393,23.232
3842.377,3.613,3.426,27.242
3843.263,2.710,3.323,30.941
3844.147,6.202,3.293,33.380
3845.032,10.154,3.480,34.801
3845.918,0.438,3.410,35.492
3846.803,4.431,3.335,35.875
3847.690,3.637,3.367,36.248
3848.575,0.904,3.439,35.020
3849.463,5.503,3.496,33.108
3850.348,-1.232,3.550,31.797
3851.234,-0.177,3.572,31.720
3852.122,4.563,3.535,32.660
3853.008,4.276,3.414,33.511
3853.897,7.123,3.358,33.719
3854.783,7.931,3.520,32.577
3855.672,4.593,3.440,30.493
3856.559,-0.073,3.347,29.229
3857.446,1.358,3.459,29.159
3858.336,2.437,3.500,28.810
3859.223,5.122,3.384,26.347
3860.113,4.878,3.451,23.205
3861.001,4.996,3.544,22.106
3861.892,8.274,3.430,24.800
3862.780,4.106,3.364,29.828
3863.669,3.714,3.400,33.558
3864.560,6.057,3.447,35.069
3865.449,6.583,3.455,33.515
3866.340,0.595,3.430,32.647
3867.230,8.192,3.404,32.326
3868.121,7.034,3.397,32.587
3869.011,0.350,3.427,32.215
3869.901,2.963,3.436,30.882
3870.794,3.188,3.410,28.364
3871.684,5.735,3.656,25.098
3872.577,7.768,3.481,23.012
3873.468,3.423,3.305,24.084
3874.361,-0.472,3.345,28.515
3875.252,1.019,3.418,33.465
3876.144,4.776,3.361,36.457
3877.038,7.814,3.533,35.735
3877.930,6.819,3.561,32.332
3878.824,1.653,3.494,29.759
3879.716,0.125,3.515,29.335
3880.611,4.374,3.575,29.733
3881.504,7.709,3.464,29.784
3882.396,6.334,3.463,28.283
