Wavelength,Flux,BestFit,SkyFlux
3595.010,16.044,13.066,8.590
3595.837,-1.574,13.118,8.264
3596.666,27.923,13.114,8.029
3597.493,8.911,12.981,7.863
3598.321,13.402,13.092,7.729
3599.151,28.368,13.141,7.676
3599.979,2.215,13.110,7.497
3600.809,14.021,13.159,7.297
3601.637,19.349,13.170,7.120
3602.468,9.610,13.071,6.989
3603.296,14.009,13.439,6.838
3604.125,19.777,13.483,6.609
3604.956,8.122,13.264,6.379
3605.786,16.946,13.187,6.049
3606.617,21.178,13.173,5.700
3607.447,15.007,12.968,5.497
3608.279,13.625,13.089,5.903
3609.109,19.602,13.225,6.759
3609.939,16.929,13.238,7.312
3610.772,-1.440,13.247,7.287
3611.602,19.304,13.212,6.703
3612.435,9.399,13.065,6.373
3613.266,10.897,13.142,6.576
3614.099,20.192,13.131,6.673
3614.931,9.094,12.995,6.857
3615.762,23.255,13.082,7.503
3616.596,17.176,13.297,9.029
3617.428,19.005,13.247,11.339
3618.262,14.836,13.216,11.565
3619.095,9.477,13.329,10.458
3619.929,18.228,13.275,9.648
3620.762,20.731,13.275,9.367
3621.597,14.230,13.414,9.183
3622.430,12.943,13.481,9.011
3623.263,18.012,13.470,9.822
3624.099,18.202,13.210,9.396
3624.933,12.575,13.052,8.908
3625.769,21.932,13.271,8.781
3626.603,20.096,13.571,9.160
3627.439,12.472,13.488,9.524
3628.273,12.075,13.363,10.013
3629.108,17.642,13.283,9.337
3629.945,20.504,13.354,8.252
3630.780,21.169,13.393,8.170
3631.617,18.142,13.334,9.418
3632.453,17.460,13.295,10.983
3633.290,13.909,13.266,11.119
3634.126,12.307,13.305,11.611
3634.962,13.407,13.455,11.982
3635.800,1.900,13.321,11.882
3636.637,24.344,13.160,11.341
3637.475,16.069,13.468,10.670
3638.312,11.707,13.407,10.397
3639.151,20.996,13.148,10.677
3639.988,17.863,13.283,10.668
3640.826,12.403,13.467,10.458
3641.665,14.610,13.578,10.408
3642.503,12.728,13.765,10.580
3643.343,14.605,13.492,10.332
3644.181,17.604,13.422,9.510
3645.022,14.560,13.443,9.188
3645.860,15.739,13.522,9.399
3646.699,12.276,13.555,9.650
3647.540,12.825,13.445,9.191
3648.379,15.596,13.448,8.292
3649.220,15.618,13.370,8.849
3650.060,14.298,13.459,10.202
3650.901,20.100,13.542,10.789
3651.741,23.881,13.465,10.452
3652.581,12.770,13.430,9.766
3653.424,13.958,13.759,9.296
3654.264,17.522,13.718,8.796
3655.107,5.332,13.600,9.694
3655.948,14.699,13.607,9.867
3656.791,16.343,13.728,9.379
3657.632,19.846,13.759,8.957
3658.473,16.921,13.474,9.476
3659.317,13.095,13.690,9.751
3660.159,18.580,13.519,9.588
3661.003,17.820,13.381,9.447
3661.845,12.000,13.498,9.121
3662.689,12.304,13.511,8.617
3663.532,12.760,13.674,8.585
3664.375,14.687,13.639,9.120
3665.220,18.908,13.647,8.941
3666.063,11.410,13.655,8.318
3666.908,20.076,13.631,7.713
3667.752,17.718,13.634,7.348
3668.598,12.918,13.590,7.220
3669.442,13.816,13.802,6.689
3670.286,16.198,13.863,6.426
3671.132,18.168,13.742,6.574
3671.977,18.621,13.668,6.719
3672.823,17.161,13.800,6.546
3673.668,17.239,13.959,6.231
3674.516,16.744,13.808,5.932
3675.361,13.736,13.602,5.978
3676.206,15.729,13.534,5.970
3677.054,16.130,13.594,5.608
3677.900,13.732,13.693,5.231
3678.748,10.669,13.813,5.139
3679.594,9.927,13.695,5.476
3680.443,11.514,13.776,5.535
3681.290,11.066,13.890,4.982
3682.136,13.216,13.794,4.721
3682.986,11.862,13.610,4.862
3683.833,12.888,13.689,5.177
3684.682,13.638,13.751,5.347
3685.530,10.306,13.738,5.014
3686.380,14.964,13.768,4.969
3687.228,13.546,13.834,5.109
3688.078,12.306,13.850,5.044
3688.927,11.723,13.949,4.896
3689.775,10.989,14.060,5.027
3690.626,11.317,13.961,5.318
3691.475,13.398,13.873,5.427
3692.326,13.489,13.834,5.699
3693.176,17.643,13.724,5.866
3694.027,16.126,13.840,5.753
3694.877,12.200,13.827,5.602
3695.727,14.348,13.623,6.002
3696.579,12.095,13.813,5.701
3697.430,16.338,14.107,5.392
3698.282,16.282,13.803,6.510
3699.133,15.283,13.777,7.751
3699.986,14.122,13.706,8.190
3700.837,11.956,13.887,8.346
3701.689,16.444,13.846,9.109
3702.542,15.600,13.675,8.739
3703.394,12.327,13.876,8.079
3704.248,13.924,13.782,7.960
3705.100,14.988,13.725,7.890
3705.955,10.672,13.926,7.151
3706.807,15.127,14.077,6.954
3707.660,11.725,14.000,6.921
3708.515,11.334,13.878,6.715
3709.368,13.069,13.880,6.576
3710.224,15.721,13.845,6.478
3711.077,18.463,13.895,6.638
3711.933,14.311,13.989,6.935
3712.787,11.804,14.019,6.821
3713.641,8.305,13.991,6.932
3714.497,8.627,14.068,6.947
3715.352,11.341,14.080,6.679
3716.208,11.415,14.110,6.248
3717.063,13.686,14.170,5.902
3717.921,19.306,14.231,5.589
3718.776,17.855,14.242,5.071
3719.631,11.748,14.116,4.962
3720.489,9.601,14.049,4.858
3721.345,14.563,13.975,4.772
3722.203,17.342,13.961,4.862
3723.059,16.379,13.940,5.110
3723.918,12.112,13.858,4.995
3724.775,13.415,14.055,4.751
3725.631,16.387,14.006,5.062
3726.491,13.749,14.001,5.545
3727.348,16.144,13.948,5.929
3728.207,12.643,13.810,6.158
3729.065,15.099,13.839,6.534
3729.925,14.265,14.124,6.158
3730.783,11.052,14.020,6.072
