Wavelength,Flux,BestFit,SkyFlux
3791.403,-2.880,8.099,38.802
3792.277,6.248,8.184,35.658
3793.150,11.486,8.352,33.117
3794.022,3.589,8.739,32.970
3794.897,5.782,8.879,32.947
3795.770,8.125,8.180,32.157
3796.646,3.638,7.517,31.862
3797.519,11.304,7.793,31.978
3798.395,5.384,7.985,32.252
3799.269,-1.101,8.445,32.756
3800.143,8.142,8.564,33.457
3801.019,14.730,8.670,34.366
3801.893,12.125,8.233,35.499
3802.770,9.603,7.432,36.530
3803.645,1.874,8.376,37.534
3804.522,14.784,7.705,38.619
3805.397,9.744,7.552,39.411
3806.273,2.321,7.812,40.232
3807.150,1.864,7.876,40.841
3808.026,-0.888,7.614,41.435
3808.904,-1.292,7.273,41.564
3809.780,9.273,7.861,41.566
3810.659,16.619,8.257,41.527
3811.536,4.344,8.067,40.735
3812.412,7.672,7.937,39.901
3813.292,11.821,8.393,37.991
3814.169,6.157,8.602,35.177
3815.048,2.929,7.814,32.045
3815.926,3.891,7.479,29.501
3816.806,5.994,8.022,29.017
3817.684,8.734,7.963,30.912
3818.562,8.855,7.302,32.660
3819.443,4.626,9.276,31.629
3820.322,4.894,9.109,27.540
3821.202,-1.358,8.645,24.777
3822.082,3.123,8.252,26.214
3822.963,7.607,8.955,28.909
3823.842,5.585,10.122,29.997
3824.724,3.614,7.840,28.436
3825.604,7.170,7.903,25.014
3826.484,9.267,8.671,21.860
3827.366,5.935,8.130,20.180
3828.247,10.838,7.860,20.644
3829.130,10.788,9.289,22.408
3830.011,7.731,9.201,24.635
3830.894,8.113,8.322,26.299
3831.775,7.491,8.511,26.096
3832.657,8.351,7.906,24.910
3833.540,5.629,7.173,23.682
3834.422,3.830,7.915,23.059
3835.307,10.877,8.099,23.394
3836.189,11.757,7.714,24.377
3837.073,9.251,7.531,24.916
3837.956,5.550,7.707,24.353
3838.839,5.345,8.320,22.908
3839.724,8.129,8.463,21.297
3840.608,8.780,6.668,21.190
3841.493,8.655,7.718,23.510
3842.377,8.917,7.306,27.460
3843.263,7.177,7.181,30.973
3844.147,4.301,8.125,33.371
3845.032,5.663,8.351,34.952
3845.918,9.320,7.225,35.766
3846.803,9.152,7.437,36.088
3847.690,6.287,7.811,36.295
3848.575,9.466,7.671,35.106
3849.463,9.218,7.864,33.300
3850.348,7.521,8.390,32.197
3851.234,8.259,7.264,32.275
3852.122,7.692,8.433,32.992
3853.008,11.356,8.944,33.795
3853.897,3.812,8.969,33.986
3854.783,6.787,8.897,32.625
3855.672,8.012,8.433,30.556
3856.559,6.380,7.861,29.475
3857.446,1.558,7.672,29.474
3858.336,4.096,8.012,28.915
3859.223,8.772,8.045,26.444
3860.113,3.979,7.986,22.834
3861.001,7.981,8.524,22.085
3861.892,6.878,9.022,24.954
3862.780,10.225,8.503,29.718
3863.669,5.588,7.587,34.675
3864.560,5.689,7.551,35.601
3865.449,8.514,7.854,33.766
3866.340,8.219,7.506,32.693
3867.230,8.336,7.519,32.467
3868.121,9.769,7.984,32.740
3869.011,6.659,7.985,32.394
3869.901,6.633,8.293,31.086
3870.794,5.081,8.062,28.512
3871.684,4.201,7.000,25.312
3872.577,4.871,8.073,23.294
3873.468,9.006,8.579,24.426
3874.361,11.225,7.784,28.630
3875.252,13.241,8.368,33.557
3876.144,13.474,9.215,36.703
3877.038,6.685,8.292,36.013
3877.930,3.926,8.465,32.695
3878.824,4.936,8.778,30.021
3879.716,8.307,8.054,29.458
3880.611,7.838,8.493,30.014
3881.504,4.142,9.118,29.967
3882.396,8.706,8.222,28.423
3883.292,9.724,8.381,26.884
3884.185,7.972,7.884,28.016
3885.081,11.276,7.391,30.935
3885.975,6.279,7.646,31.381
3886.871,5.643,8.431,29.217
3887.765,3.981,8.841,27.584
3888.659,2.094,8.389,27.354
3889.556,3.478,8.198,27.270
3890.451,11.772,7.510,27.427
3891.348,16.791,7.209,30.281
3892.243,9.649,8.061,35.044
3893.141,0.508,9.330,38.174
3894.036,3.748,8.860,38.312
3894.934,7.776,6.716,37.054
3895.830,5.675,8.088,36.453
3896.726,12.420,9.422,37.384
3897.625,4.921,8.892,39.049
3898.522,6.490,8.542,39.295
3899.421,8.009,9.218,38.874
3900.318,8.826,7.192,38.211
3901.217,8.938,7.310,38.198
3902.115,6.348,8.222,38.243
3903.012,10.608,8.761,37.075
3903.912,5.794,9.035,36.198
3904.810,11.200,8.237,36.494
3905.711,7.955,8.667,36.435
3906.609,11.383,9.479,35.182
3907.510,11.400,8.580,36.660
3908.409,10.173,8.167,41.478
3909.308,8.369,9.907,44.743
3910.210,5.926,9.072,43.947
