Wavelength,Flux,BestFit,SkyFlux
3804.522,10.015,8.065,39.538
3805.397,9.572,8.054,40.137
3806.273,11.934,7.799,40.835
3807.150,0.771,8.124,41.280
3808.026,7.367,8.490,41.775
3808.904,7.992,7.973,42.226
3809.780,3.336,7.669,42.466
3810.659,7.193,7.555,42.635
3811.536,10.141,7.658,42.378
3812.412,3.447,8.064,41.565
3813.292,6.353,7.999,39.868
3814.169,7.179,7.224,36.122
3815.048,6.563,7.588,31.241
3815.926,9.588,7.149,28.197
3816.806,8.619,7.297,28.701
3817.684,0.483,7.739,31.818
3818.562,3.750,7.862,33.755
3819.443,10.195,7.700,32.177
3820.322,8.219,7.621,27.943
3821.202,10.465,7.604,25.516
3822.082,10.498,8.207,27.309
3822.963,5.691,8.110,30.531
3823.842,3.146,7.546,31.178
3824.724,10.013,7.847,29.110
3825.604,2.771,8.202,26.380
3826.484,1.970,7.744,24.134
3827.366,8.901,7.297,22.894
3828.247,9.904,7.412,22.880
3829.130,6.008,7.609,24.135
3830.011,5.834,7.289,26.241
3830.894,9.804,7.177,27.156
3831.775,8.793,7.634,26.146
3832.657,6.090,8.202,23.663
3833.540,10.209,8.306,21.552
3834.422,7.075,7.967,21.086
3835.307,7.317,7.731,22.347
3836.189,9.984,7.972,24.569
3837.073,4.622,8.124,25.939
3837.956,0.661,8.027,25.184
3838.839,9.912,8.042,23.345
3839.724,9.554,8.238,21.746
3840.608,8.528,8.077,21.959
3841.493,6.618,7.135,23.922
3842.377,5.724,7.406,26.983
3843.263,5.688,7.915,29.845
3844.147,8.375,8.066,32.436
3845.032,10.479,7.734,34.798
3845.918,7.477,7.266,35.451
3846.803,3.901,7.476,35.777
3847.690,7.390,7.559,36.561
3848.575,8.660,7.358,37.192
3849.463,3.146,7.592,36.331
3850.348,6.319,7.681,34.595
3851.234,-0.073,6.931,33.340
3852.122,3.741,7.079,33.318
3853.008,7.311,7.427,34.098
3853.897,5.034,7.581,34.533
3854.783,2.299,7.537,33.888
3855.672,0.843,7.483,31.205
3856.559,5.771,7.672,29.234
3857.446,8.402,8.082,30.276
3858.336,1.303,7.600,30.642
3859.223,3.021,8.057,26.700
3860.113,10.658,8.362,21.655
3861.001,11.964,7.915,21.707
3861.892,3.723,7.673,26.750
3862.780,0.478,8.073,32.680
3863.669,7.344,7.859,36.390
3864.560,10.944,8.016,35.967
3865.449,11.953,8.325,34.547
3866.340,12.951,8.151,34.911
3867.230,1.890,7.837,35.555
3868.121,3.823,8.745,35.133
3869.011,10.857,8.430,33.435
3869.901,12.713,8.368,30.756
3870.794,7.713,8.401,27.604
3871.684,5.780,8.004,25.226
3872.577,8.008,7.527,24.341
3873.468,5.246,7.822,26.034
3874.361,7.997,7.862,29.774
3875.252,4.572,8.064,34.214
3876.144,11.456,7.835,37.762
3877.038,9.183,7.605,36.659
3877.930,11.777,8.114,31.722
3878.824,6.377,7.970,28.506
3879.716,3.481,7.375,28.137
3880.611,6.338,7.186,28.957
3881.504,6.612,7.134,28.866
3882.396,6.838,7.002,27.656
3883.292,5.520,6.970,27.452
3884.185,9.312,7.013,29.326
3885.081,5.690,6.864,31.712
3885.975,1.972,6.901,31.343
3886.871,5.987,7.203,28.845
3887.765,6.759,7.311,26.900
3888.659,6.085,7.065,26.672
3889.556,7.150,7.465,27.340
3890.451,7.374,7.921,28.505
3891.348,5.925,7.879,31.044
3892.243,2.237,7.535,34.517
3893.141,5.260,7.555,36.993
3894.036,4.092,8.030,37.767
3894.934,13.334,7.802,37.071
3895.830,9.772,8.048,36.675
3896.726,5.929,7.492,38.135
3897.625,7.245,7.303,39.440
3898.522,4.828,7.795,38.150
3899.421,1.978,7.914,36.833
3900.318,6.370,7.720,36.837
3901.217,5.207,7.820,35.836
3902.115,5.137,8.030,37.341
3903.012,4.876,7.457,39.441
3903.912,4.913,6.962,36.792
3904.810,6.732,7.599,34.387
3905.711,9.120,7.374,33.804
3906.609,9.162,7.570,34.447
3907.510,6.674,7.301,36.565
3908.409,6.048,7.547,40.264
3909.308,7.424,7.932,43.741
3910.210,3.792,7.411,44.701
3911.109,4.504,7.649,43.902
3912.011,7.292,7.743,43.683
3912.911,11.325,7.773,44.650
3913.813,11.005,7.707,46.199
3914.714,7.224,7.740,46.645
3915.614,6.698,7.977,45.196
3916.517,8.047,7.811,42.657
3917.418,8.137,7.806,39.993
3918.322,7.137,7.841,38.786
3919.223,3.595,7.751,38.423
3920.127,9.578,7.485,36.601
3921.029,12.136,7.125,33.569
3921.931,3.983,6.905,32.517
3922.835,1.987,7.019,32.570
3923.737,6.345,6.783,32.276
3924.642,9.044,7.047,33.066
3925.545,8.158,7.685,34.380
3926.450,6.942,7.712,33.375
3927.354,8.418,7.578,29.422
3928.257,11.194,7.375,25.211
3929.163,7.429,7.756,22.774
3930.067,9.292,7.822,21.668
3930.973,5.602,7.444,20.405
3931.877,2.357,7.371,18.056
3932.784,4.139,7.369,14.740
3933.689,5.215,7.366,11.907
3934.594,7.468,7.913,10.396
3935.501,11.112,8.372,10.457
3936.406,9.568,8.020,12.486
3937.314,8.395,7.160,15.366
3938.220,8.962,7.200,18.227
3939.128,7.811,7.507,21.336
3940.034,7.648,7.140,24.770
3940.941,8.472,6.924,27.854
3941.849,9.188,7.269,29.823
3942.756,5.387,7.503,30.136
3943.665,4.322,7.149,29.547
3944.573,6.453,7.139,30.157
3945.482,4.977,7.362,32.081
3946.390,7.417,7.431,34.942
3947.298,7.309,7.282,36.859
3948.208,5.849,7.220,37.390
3949.116,5.832,7.465,37.803
3950.027,4.559,7.447,39.040
3950.936,8.950,7.652,40.288
3951.847,8.907,8.030,40.545
3952.756,3.331,8.066,39.889
3953.665,6.471,7.771,38.796
3954.577,16.789,8.271,38.000
3955.487,11.495,8.215,39.895
3956.399,-0.487,7.540,41.200
3957.309,1.821,7.571,38.929
3958.221,3.659,8.032,37.698
3959.132,6.761,7.829,38.968
3960.045,4.863,8.064,39.137
3960.956,7.253,7.829,35.956
3961.867,4.662,7.477,28.902
3962.781,3.308,7.223,25.488
3963.692,9.576,7.220,25.086
3964.606,5.305,7.503,24.238
3965.518,11.327,7.611,22.387
3966.433,7.017,7.272,20.083
3967.345,3.959,7.582,17.431
3968.258,5.940,7.820,14.312
3969.173,4.448,7.730,11.902
3970.086,5.800,7.713,11.560
3971.002,8.743,7.251,13.519
3971.915,8.236,7.503,16.528
3972.831,6.535,7.388,19.635
3973.745,8.009,7.290,22.612
3974.659,8.247,7.547,25.725
3975.576,5.758,7.587,28.774
3976.490,7.429,6.877,30.725
3977.407,10.431,6.901,32.513
