Wavelength,Flux,BestFit,SkyFlux
3812.412,19.093,11.608,42.228
3813.292,6.543,10.855,40.620
3814.169,3.842,11.146,36.711
3815.048,17.199,11.457,31.166
3815.926,17.237,11.689,25.507
3816.806,5.253,9.615,27.181
3817.684,8.807,9.642,32.212
3818.562,7.140,11.374,34.578
3819.443,0.220,11.741,32.470
3820.322,2.624,10.261,28.511
3821.202,6.628,10.112,26.440
3822.082,3.910,9.599,28.147
3822.963,9.298,9.826,31.194
3823.842,7.579,9.010,31.782
3824.724,4.795,9.742,29.526
3825.604,5.657,12.127,27.061
3826.484,-1.527,10.582,25.419
3827.366,4.491,10.251,24.253
3828.247,10.010,10.903,24.016
3829.130,5.591,10.458,25.400
3830.011,4.682,9.660,27.602
3830.894,-0.950,9.315,28.112
3831.775,1.428,8.341,26.127
3832.657,7.065,8.930,22.946
3833.540,9.021,9.872,20.855
3834.422,4.614,8.900,20.314
3835.307,9.175,8.978,22.053
3836.189,12.676,10.835,24.982
3837.073,4.343,9.187,26.509
3837.956,-1.707,8.172,25.533
3838.839,3.414,8.911,23.346
3839.724,5.800,9.373,21.636
3840.608,10.153,9.344,21.750
3841.493,4.583,9.561,24.040
3842.377,6.145,9.558,27.321
3843.263,4.487,8.494,31.317
3844.147,5.839,8.622,34.444
3845.032,3.356,9.862,35.767
3845.918,3.582,9.799,35.467
3846.803,4.856,8.809,35.503
3847.690,3.649,10.629,36.657
3848.575,7.382,10.389,37.958
3849.463,0.450,9.573,37.665
3850.348,3.245,8.730,35.882
3851.234,3.097,8.087,34.136
3852.122,7.673,8.516,33.658
3853.008,4.008,10.478,34.536
3853.897,3.506,10.349,35.175
3854.783,2.579,8.615,34.548
3855.672,4.179,7.641,31.659
3856.559,8.940,7.901,29.522
3857.446,4.341,8.323,31.159
3858.336,5.961,8.033,31.893
3859.223,3.861,7.805,27.399
3860.113,11.124,9.071,21.214
3861.001,6.566,9.686,21.427
3861.892,2.745,9.100,27.737
3862.780,2.968,8.649,34.118
3863.669,5.495,9.331,36.985
3864.560,10.104,9.571,36.499
3865.449,12.158,9.726,35.472
3866.340,7.680,9.654,36.166
3867.230,3.793,9.695,37.069
3868.121,0.994,10.054,35.995
3869.011,0.552,10.010,33.455
3869.901,5.913,9.118,30.827
3870.794,2.264,9.386,27.311
3871.684,8.059,10.547,25.405
3872.577,8.671,10.974,25.415
3873.468,5.257,9.447,26.943
3874.361,9.394,7.342,30.498
3875.252,7.329,9.323,34.636
3876.144,-0.172,8.810,38.076
3877.038,6.365,8.603,37.313
3877.930,10.157,8.749,31.471
3878.824,12.290,8.278,27.411
3879.716,13.549,9.210,27.277
3880.611,5.371,9.555,28.298
3881.504,10.770,8.285,28.286
3882.396,12.461,7.813,27.719
3883.292,2.520,8.714,28.009
3884.185,6.491,9.390,30.105
3885.081,7.892,8.660,32.374
3885.975,1.935,8.996,31.410
3886.871,10.639,9.225,28.597
3887.765,9.380,8.719,26.241
3888.659,1.379,8.402,26.068
3889.556,7.355,8.605,27.587
3890.451,7.238,8.131,29.814
3891.348,8.160,8.276,31.672
3892.243,8.866,8.993,33.669
3893.141,4.290,7.919,35.418
3894.036,12.098,7.316,36.676
3894.934,6.596,8.974,36.749
