Wavelength,Flux,BestFit,SkyFlux
3586.740,73.050,84.679,5.706
3587.567,71.278,84.217,5.768
3588.392,69.506,84.468,5.915
3589.220,73.559,85.255,6.096
3590.046,77.523,85.428,6.200
3590.873,83.236,85.635,6.461
3591.700,83.213,86.073,6.598
3592.526,68.341,85.913,6.768
3593.354,81.167,85.360,6.949
3594.181,85.950,84.854,7.093
3595.010,67.465,84.755,7.218
3595.837,67.693,85.187,7.324
3596.666,84.540,85.453,7.337
3597.493,75.317,84.082,7.338
3598.321,92.913,84.671,7.312
3599.151,73.319,85.657,7.261
3599.979,80.660,84.922,7.188
3600.809,81.433,85.024,6.934
3601.637,66.751,84.426,6.595
3602.468,86.191,84.391,6.253
3603.296,80.133,85.064,5.879
3604.125,69.289,85.204,5.611
3604.956,81.071,84.451,5.511
3605.786,83.056,84.336,5.421
3606.617,70.191,84.374,5.238
3607.447,77.911,83.629,4.702
3608.279,75.226,83.883,4.097
3609.109,76.471,84.386,3.618
3609.939,74.889,84.304,3.469
3610.772,72.666,85.034,3.691
3611.602,72.140,84.466,3.913
3612.435,67.638,83.165,4.137
3613.266,56.136,83.394,4.254
3614.099,51.086,84.243,4.437
3614.931,58.618,84.186,5.039
3615.762,70.696,84.029,6.247
3616.596,75.447,83.425,7.762
3617.428,71.294,83.432,8.389
3618.262,76.869,83.687,8.359
3619.095,90.432,83.485,8.249
3619.929,91.896,82.946,8.205
3620.762,74.033,83.112,8.080
3621.597,61.559,83.658,7.700
3622.430,78.404,82.472,7.608
3623.263,73.743,82.325,7.495
3624.099,67.114,82.718,7.225
3624.933,68.824,82.339,6.686
3625.769,70.161,82.790,6.096
3626.603,74.607,83.333,6.471
3627.439,88.363,82.736,7.708
3628.273,72.396,82.953,7.758
3629.108,69.095,83.776,7.365
3629.945,69.649,83.697,7.654
3630.780,57.841,82.782,8.623
3631.617,42.326,82.695,9.577
3632.453,44.990,82.662,9.543
3633.290,51.083,82.747,9.088
3634.126,60.392,82.931,9.333
3634.962,67.239,82.682,9.874
3635.800,70.945,81.699,9.960
3636.637,74.026,81.702,9.580
3637.475,77.941,81.253,9.422
3638.312,79.980,81.738,10.293
3639.151,75.205,82.707,9.784
3639.988,81.938,82.850,8.785
3640.826,78.395,82.362,8.687
3641.665,64.664,81.662,9.106
3642.503,74.133,81.352,9.192
3643.343,86.083,81.240,8.721
3644.181,76.246,82.166,7.617
3645.022,73.878,83.263,6.957
3645.860,78.797,81.645,6.897
3646.699,75.759,81.540,7.140
3647.540,66.567,81.863,7.271
3648.379,77.224,82.384,7.048
3649.220,77.118,82.463,6.974
3650.060,74.595,81.598,8.125
3650.901,75.740,80.568,8.970
3651.741,77.806,80.532,8.925
3652.581,77.711,81.018,8.280
3653.424,79.960,81.816,7.505
3654.264,76.186,82.193,7.021
3655.107,67.083,81.696,7.442
3655.948,66.918,81.164,7.577
3656.791,72.303,81.692,7.256
3657.632,68.537,82.275,7.244
3658.473,78.349,82.352,7.786
3659.317,71.205,81.585,8.398
3660.159,71.293,80.670,8.478
3661.003,74.329,81.161,8.095
3661.845,74.478,81.636,7.687
3662.689,80.406,81.689,7.451
3663.532,79.506,81.079,7.401
3664.375,57.510,80.685,7.423
3665.220,80.410,80.824,7.550
3666.063,83.528,80.567,7.184
3666.908,58.180,81.621,6.536
3667.752,82.778,81.649,6.322
3668.598,73.664,81.303,6.064
3669.442,74.997,80.743,5.611
3670.286,71.656,80.291,5.272
3671.132,67.245,81.119,5.416
3671.977,68.505,81.073,5.668
3672.823,68.800,80.077,6.000
3673.668,69.277,80.212,6.107
3674.516,77.082,81.188,5.975
3675.361,77.000,81.218,5.575
3676.206,75.250,80.113,5.312
3677.054,76.141,80.740,5.548
3677.900,72.790,80.834,5.336
3678.748,72.680,81.017,4.929
3679.594,65.672,80.859,4.619
3680.443,73.993,80.555,4.605
3681.290,79.119,81.902,4.587
3682.136,74.103,81.388,4.164
3682.986,77.382,80.990,3.728
3683.833,68.731,81.574,3.812
3684.682,69.439,82.045,4.056
3685.530,67.674,81.628,4.280
3686.380,66.358,81.112,4.482
3687.228,70.919,79.878,4.598
3688.078,75.984,81.035,4.515
3688.927,75.652,81.353,4.096
3689.775,75.604,80.831,4.070
3690.626,70.806,80.965,4.606
3691.475,66.721,80.829,5.278
3692.326,70.033,81.465,5.593
3693.176,76.070,81.897,5.319
3694.027,69.847,81.498,4.590
3694.877,68.425,80.704,4.494
3695.727,62.465,80.403,4.769
3696.579,63.228,80.758,4.844
3697.430,70.862,80.370,4.741
3698.282,69.093,81.345,5.022
3699.133,72.981,81.530,6.205
3699.986,71.738,80.525,7.534
3700.837,67.747,79.689,7.814
3701.689,68.929,79.859,7.089
3702.542,71.594,81.120,6.952
3703.394,65.825,81.469,7.438
3704.248,62.322,81.063,7.726
3705.100,42.728,80.800,7.347
3705.955,60.712,81.308,7.561
3706.807,66.628,82.207,7.350
3707.660,54.816,81.667,6.478
3708.515,84.689,80.784,5.736
3709.368,75.208,81.075,5.654
3710.224,71.939,81.139,6.094
3711.077,70.434,80.243,6.542
3711.933,67.566,80.752,6.214
3712.787,66.477,80.947,6.281
3713.641,70.156,80.219,6.548
3714.497,79.246,81.385,6.732
3715.352,69.120,82.146,6.571
