Wavelength,Flux,BestFit,SkyFlux
3957.309,6.819,5.554,37.982
3958.221,6.626,5.560,36.561
3959.132,7.962,5.360,37.255
3960.045,6.553,5.537,38.394
3960.956,2.377,5.992,36.915
3961.867,7.465,6.054,31.990
3962.781,4.602,5.791,26.381
3963.692,5.525,5.346,23.839
3964.606,5.976,5.745,23.855
3965.518,6.380,6.053,22.989
3966.433,4.807,5.860,20.177
3967.345,5.573,5.725,16.515
3968.258,6.686,5.851,13.593
3969.173,4.670,5.898,12.214
3970.086,6.130,6.073,11.980
3971.002,6.354,6.402,13.234
3971.915,4.850,6.314,16.120
3972.831,3.998,5.636,20.110
3973.745,5.085,5.620,24.175
3974.659,4.535,5.870,27.325
3975.576,7.720,5.674,29.377
3976.490,9.193,5.626,30.910
3977.407,4.632,5.871,33.031
3978.322,4.597,5.893,35.409
3979.240,8.282,5.625,37.873
3980.155,4.031,5.712,39.836
3981.071,9.996,5.981,40.963
3981.989,6.590,6.002,42.018
3982.905,7.472,5.717,41.492
3983.823,3.604,5.605,40.091
3984.740,3.432,6.119,39.618
3985.659,6.543,5.997,40.310
3986.576,6.008,6.087,40.851
3987.493,6.143,6.339,41.450
3988.412,3.213,6.361,42.592
3989.330,9.669,6.284,43.933
3990.250,3.416,6.756,43.865
3991.168,3.521,6.613,43.560
3992.088,4.621,5.877,44.704
3993.006,7.204,5.863,45.755
3993.925,10.030,6.252,45.397
3994.846,8.222,6.039,44.292
3995.765,6.219,6.221,43.056
3996.686,9.746,6.380,41.778
3997.606,5.423,6.158,41.518
3998.528,4.818,5.840,42.125
3999.447,2.318,5.793,43.103
4000.368,10.360,6.006,45.460
4001.290,7.379,6.027,47.150
4002.211,6.896,5.970,47.090
4003.133,6.487,6.200,47.449
4004.054,3.918,6.308,47.815
4004.978,5.581,6.288,46.077
4005.899,4.605,6.246,41.443
4006.821,9.130,5.685,37.971
4007.745,9.066,6.128,40.683
4008.666,9.383,5.996,45.114
4009.591,6.641,5.838,47.124
4010.513,6.932,6.188,46.914
4011.438,6.565,6.442,47.103
4012.361,7.176,5.841,47.613
4013.284,8.938,5.703,47.440
4014.209,7.002,5.734,46.940
4015.133,4.012,5.905,47.311
4016.059,2.559,5.983,48.137
4016.983,1.919,5.879,46.859
4017.909,4.227,6.260,45.211
4018.833,6.293,6.311,45.503
4019.758,7.462,6.499,47.269
4020.685,7.605,6.595,48.778
4021.610,6.006,6.349,48.928
4022.537,5.807,6.030,48.041
4023.462,7.704,6.196,47.827
4024.390,6.246,6.275,48.257
4025.316,7.361,6.576,47.161
4026.242,4.817,6.753,46.905
4027.171,8.716,6.602,48.067
4028.097,5.768,6.418,49.088
4029.026,6.730,6.611,49.049
4029.953,7.828,6.865,48.287
4030.882,6.160,6.537,45.544
4031.809,6.502,6.035,42.235
4032.739,7.413,6.314,40.655
4033.667,4.266,7.271,39.072
4034.595,8.519,6.833,38.994
4035.525,3.163,6.166,41.165
4036.453,7.814,6.770,43.127
4037.384,12.193,6.865,46.298
4038.313,3.914,6.429,49.528
4039.244,2.563,6.793,50.479
4040.173,6.004,6.793,49.168
4041.103,4.314,6.513,48.005
4042.035,4.960,6.734,46.533
4042.965,5.732,6.807,46.461
4043.897,3.737,6.505,48.650
4044.827,5.988,6.301,44.948
4045.760,5.937,6.337,40.922
4046.691,9.272,6.696,43.394
4047.622,7.331,6.772,50.123
4048.555,9.152,6.954,54.658
4049.486,7.456,6.972,54.092
4050.420,2.993,6.334,51.179
4051.352,8.622,5.994,49.139
4052.286,9.318,6.207,47.422
4053.218,1.571,6.775,45.524
4054.151,2.456,6.796,44.158
4055.086,5.588,6.364,44.164
4056.019,6.316,6.363,43.797
4056.954,6.720,6.744,43.282
4057.887,6.338,6.400,42.827
4058.823,4.431,6.107,41.676
4059.757,4.248,6.371,41.191
4060.691,5.845,6.444,44.845
4061.627,2.915,5.931,47.428
4062.561,3.071,6.496,45.885
4063.498,10.104,6.270,40.121
4064.433,8.133,5.769,37.022
4065.370,5.198,5.539,38.375
4066.305,8.154,5.604,40.779
4067.241,8.521,5.917,41.868
4068.179,4.818,6.686,41.694
4069.115,3.863,6.742,43.639
4070.053,6.927,6.357,46.176
4070.989,8.377,6.416,45.272
4071.928,4.091,6.624,41.942
4072.865,3.209,6.347,39.948
4073.802,4.689,6.476,41.711
4074.741,7.302,6.341,43.685
4075.679,5.786,6.053,44.949
4076.618,6.099,5.911,43.698
4077.556,6.082,6.009,41.111
4078.497,3.743,6.111,39.683
4079.435,5.485,5.908,39.872
4080.373,8.054,6.068,42.082
4081.314,2.767,6.070,44.647
4082.253,6.498,5.639,46.883
4083.194,5.489,5.297,47.011
4084.134,8.447,5.594,46.037
4085.076,3.371,5.911,44.085
4086.015,2.526,5.955,42.560
4086.955,2.263,6.053,44.138
4087.898,5.151,6.210,47.039
4088.838,10.269,6.281,48.367
4089.781,4.868,6.291,48.105
4090.722,5.145,6.449,48.067
4091.665,4.259,6.104,46.869
4092.606,6.590,6.052,45.565
4093.548,5.612,6.147,44.684
4094.492,6.463,6.247,44.512
4095.434,6.527,6.533,44.601
4096.378,5.458,6.950,43.151
4097.321,4.918,7.150,41.451
4098.265,5.779,6.700,40.873
4099.208,6.515,6.633,40.672
4100.151,5.637,6.934,39.311
4101.097,7.585,6.891,36.745
4102.040,4.212,7.066,32.691
4102.986,6.840,6.315,31.220
4103.930,3.912,6.340,33.205
4104.876,5.240,6.747,36.568
4105.821,7.157,6.855,39.729
4106.768,6.998,6.751,41.949
4107.712,7.974,6.758,43.369
4108.657,9.080,6.621,43.414
4109.605,7.206,6.388,42.513
4110.550,7.470,6.186,42.663
4111.498,7.009,6.324,43.207
4112.444,5.715,6.724,43.344
4113.392,4.130,6.460,43.875
4114.338,4.452,6.425,44.851
4115.285,4.678,6.792,45.974
4116.234,6.081,6.829,46.366
4117.181,6.054,6.623,46.911
4118.130,5.809,6.694,46.889
4119.078,8.464,6.475,44.947
4120.027,3.807,6.288,43.018
4120.975,4.455,5.956,43.560
4121.923,5.553,5.991,44.483
4122.874,8.381,6.311,43.449
4123.822,5.120,6.386,43.879
4124.773,4.749,6.496,44.940
4125.722,6.611,6.839,45.701
4126.673,6.292,6.928,44.534
4127.623,6.096,7.142,43.018
4128.572,7.106,7.319,42.687
4129.524,5.796,7.115,42.222
4130.474,4.546,7.380,42.777
4131.427,5.180,7.585,42.369
4132.377,8.336,7.086,40.236
4133.330,7.615,6.532,38.490
4134.281,7.246,6.226,38.577
4135.232,3.370,6.038,39.733
4136.186,3.153,6.327,41.535
4137.137,6.109,6.362,42.942
4138.091,7.011,6.671,43.812
4139.043,7.609,6.832,45.437
4139.998,4.657,6.727,46.269
4140.950,5.395,6.913,46.388
4141.903,6.574,7.580,45.505
4142.858,6.550,7.297,42.202
4143.811,8.602,7.153,38.377
4144.766,6.131,7.240,36.985
4145.720,8.297,7.464,38.653
4146.676,6.275,7.719,41.874
4147.630,2.096,7.363,43.302
4148.584,7.301,6.974,42.638
4149.541,8.356,6.920,41.703
4150.495,7.023,7.077,41.425
4151.452,8.772,7.036,41.910
4152.407,5.067,6.752,43.025
4153.365,4.849,6.963,41.615
4154.320,5.954,6.933,40.174
4155.276,6.537,6.556,40.111
4156.234,7.113,6.780,40.929
4157.190,5.253,7.305,41.416
4158.149,6.366,7.141,41.808
4159.106,11.151,7.032,42.106
4160.065,4.825,7.207,43.059
4161.022,6.412,7.224,44.630
4161.979,8.482,7.341,45.154
4162.939,8.049,7.695,46.039
4163.896,1.140,7.894,46.138
4164.857,7.028,7.520,46.251
4165.815,7.875,7.463,46.215
4166.775,6.832,7.475,44.826
4167.734,7.348,7.446,42.350
4168.693,5.245,7.350,41.416
4169.654,6.050,7.184,43.356
4170.613,4.309,7.140,44.593
